application;schema;legacy_view;target_table;field_name;check_field_type;field_type;field_length
hsta;ruu;legado_vm_hsta_identificaciones;hsta_identificaciones;id_persona_usuaria;varchar2(16);string;16
;;;;ds_numero_identificacion;varchar2(9);string;9
;;;;fc_alta;timestamp;timestamp;
;;;;fc_ultima_act;timestamp;timestamp;
;;;;fc_baja;timestamp;timestamp;
;;;;cd_tipo_identificacion;varchar2(5);string;5
;;legado_vm_hsta_usuarios;hsta_personas_usuarias;id_persona_usuaria;varchar2(16);string;16
;;;;cd_tp_persona;varchar2(2);string;2
;;;;ds_nombre;varchar2(20);string;20
;;;;ds_apellido_1;varchar2(25);string;25
;;;;ds_apellido_2;varchar2(25);string;25
;;;;cd_sexo;varchar2(2);string;2
;;;;fc_nacimiento;date;string;
;;;;fc_fallecimiento;date;string;
;;;;cd_estado_civil;varchar2(2);string;2
;;;;fc_alta;timestamp;timestamp;
;;;;fc_ultima_act;timestamp;timestamp;
;;;;fc_baja;timestamp;timestamp;
;;;;cd_pais_nacimiento;varchar2(3);string;3
;;;;it_sin_hogar;number(1);numeric;1
;;;;cd_tipologia_ethos;number(2);numeric;2
;;legado_vm_hsta_nacionalidades;hsta_nacionalidades;id_persona_usuaria;varchar2(16);string;16
;;;;cd_nacionalidad;varchar2(3);string;3
;;;;fc_alta;timestamp;timestamp;
;;;;fc_ultima_act;timestamp;timestamp;
;;;;fc_baja;timestamp;timestamp;
;;legado_vm_hsta_representaciones;hsta_representaciones;id_representacion;varchar2(33);string;33
;;;;cd_tipo_parentesco;varchar2(10);string;10
;;;;id_persona_usu_representante;varchar2(16);string;16
;;;;id_persona_usu_representada;varchar2(16);string;16
;;;;fc_alta;timestamp;timestamp;
;;;;fc_ultima_act;timestamp;timestamp;
;;;;fc_baja;timestamp;timestamp;
;;;;cd_tipo_representacion;varchar2(10);string;10
;;;;id_entidad_representante;varchar2(2);string;2
;;;;it_expediente_activo;number(2);numeric;2
;;;;cd_expediente;varchar2(50);string;50
;;legado_vm_hsta_direcciones;hsta_direcciones;id_persona_usuaria;varchar2(16);string;16
;;;;cd_tipo_domicilio;varchar2(15);string;15
;;;;cd_tipo_via;varchar2(15);string;15
;;;;ds_nombre_via;varchar2(60);string;60
;;;;ds_numero;varchar2(6);string;6
;;;;nm_km;number;numeric;
;;;;ds_bloque;varchar2(2);string;2
;;;;ds_escalera;varchar2(2);string;2
;;;;ds_piso;varchar2(2);string;2
;;;;ds_puerta;varchar2(5);string;5
;;;;cd_provincia;varchar2(2);string;2
;;;;cd_municipio;varchar2(3);string;3
;;;;cd_cod_postal;varchar2(5);string;5
;;;;fc_alta;timestamp;timestamp;
;;;;fc_ultima_act;timestamp;timestamp;
;;;;fc_baja;timestamp;timestamp;
;;;;ds_portal;varchar2(6);string;6
;;;;ds_letra;varchar2(5);string;5
;;;;cd_localidad;varchar2(4);string;4
;;;;tl_detalle_domicilio;varchar2(200);string;200
;;legado_vm_hsta_emails;hsta_correos_electronicos;ds_direccion;varchar2(255);string;255
;;;;it_notificacion;number(1);numeric;1
;;;;id_persona_usuaria;varchar2(16);string;16
;;;;fc_alta;timestamp;timestamp;
;;;;fc_ultima_act;timestamp;timestamp;
;;;;fc_baja;timestamp;timestamp;
;;legado_vm_hsta_telefonos;hsta_telefonos;ds_numero;varchar2(14);string;14
;;;;it_notificacion;number(1);numeric;1
;;;;id_persona_usuaria;varchar2(16);string;16
;;;;fc_alta;timestamp;timestamp;
;;;;fc_ultima_act;timestamp;timestamp;
;;;;fc_baja;timestamp;timestamp;
;russ;legado_vm_hsta_episodios;hsta_episodios;cd_episodio;varchar2(50);string;50
;;;;nm_orden;number;numeric;
;;;;cd_persona_usuaria;varchar2(16);string;16
;;;;cd_tipo_episodio;varchar2(50);string;50
;;;;cd_expediente;varchar2(50);string;50
;;;;cd_tipo_expediente;varchar2(24);string;24
;;;;cd_tipo_apunte;varchar2(50);string;50
;;;;fc_primer_apunte;varchar2();timestamp;
;;;;fc_ultimo_apunte;varchar2();timestamp;
;;;;cd_estado;varchar2(1);string;1
;;;;fc_alta;timestamp;timestamp;
;;;;fc_ultima_act;timestamp;timestamp;
;;;;fc_baja;timestamp;timestamp;
;;legado_vm_hsta_det_episodios;hsta_detalles_episodios;cd_detalle_episodio;varchar2(50);string;50
;;;;cd_episodio;varchar2(50);string;50
;;;;cd_expediente;varchar2(24);string;24
;;;;nm_orden;number;numeric;
;;;;cd_persona_usuaria;varchar2(16);string;16
;;;;cd_detalle_tipo_episodio;varchar2(16);string;16
;;;;cd_valor;varchar2(50);string;50
;;;;ds_clave;varchar2(200);string;200
;;;;ds_valor;varchar2(200);string;200
;;;;fc_alta;timestamp;timestamp;
;;;;fc_ultima_act;timestamp;timestamp;
;;;;fc_baja;timestamp;timestamp;
;;;;nm_orden_valor;number(8);numeric;8
;;;;cd_tipo_expediente;varchar2(200);string;200
;;legado_vm_hsta_det_apuntes;hsta_detalles_apuntes;cd_detalle_apunte;varchar2(50);string;50
;;;;cd_apunte;varchar2(50);string;50
;;;;cd_expediente;varchar2(24);string;24
;;;;nm_orden;number;numeric;
;;;;cd_tipo_apunte;varchar2(50);string;50
;;;;cd_detalle_tipo_apunte;varchar2(50);string;50
;;;;cd_persona_usuaria;varchar2(16);string;16
;;;;cd_modo_act_epi;varchar2(1);string;1
;;;;cd_valor;varchar2(50);string;50
;;;;ds_clave;varchar2(200);string;200
;;;;ds_valor;varchar2(200);string;200
;;;;fc_alta;timestamp;timestamp;
;;;;fc_ultima_act;timestamp;timestamp;
;;;;fc_baja;timestamp;timestamp;
;;;;nm_orden_valor;number(8);numeric;8
;;;;cd_tipo_expediente;varchar2(200);string;200
;;legado_vm_hsta_apuntes;hsta_apuntes;cd_apunte;varchar2(50);string;50
;;;;cd_episodio;varchar2(50);string;50
;;;;cd_expediente;varchar2(24);string;24
;;;;nm_orden;number;numeric;
;;;;cd_persona_usuaria;varchar2(16);string;16
;;;;cd_tipo_apunte;varchar2(15);string;15
;;;;fc_alta;timestamp;timestamp;
;;;;fc_ultima_act;timestamp;timestamp;
;;;;fc_baja;timestamp;timestamp;
;;;;cd_tipo_expediente;varchar2(200);string;200
